LGU,Year,Dengue Cases,Population,Population Density,Incidence Rate,Predicted_Cases_NB,Predicted_Incidence_per_100k
Navotas,2024,535,252878.0,28286.12975391499,211.5644698233931,711.9361808504553,281.5334591583512
Navotas,2025,590,254211.75,28435.31879194631,232.08998010516825,751.6681399589165,295.685836692803
Parañaque,2021,594,693305.25,14887.379214086322,85.67654723514643,628.4082557256091,90.63947744887395
Parañaque,2022,2281,696618.5,14958.524801374277,327.43890666125003,2616.494765867138,375.5993798423582
Parañaque,2023,1151,699931.75,15029.670388662227,164.44460477753722,1372.3032760839035,196.06244124286454
Parañaque,2024,1697,703245.0,15100.815975950183,241.30992755014256,2158.379122571159,306.91709469262616
Parañaque,2025,1611,706558.25,15171.961563238136,228.00667885485737,2278.7226256687436,322.51022837377434
Pasay,2021,186,443788.5,31767.251252684324,41.911856661450216,360.1614986390985,81.1561134727688
Pasay,2022,746,446921.0,31991.481746599857,166.91988069479842,1501.496053518298,335.9645336688806
Pasay,2023,689,450053.5,32215.71224051539,153.0929100651367,788.4820939040968,175.19741406390503
Pasay,2024,1133,453186.0,32439.94273443092,250.00772309824225,1241.6396373479984,273.98014001932944
Pasay,2025,1152,456318.5,32664.173228346455,252.45524781484863,1312.4243906396302,287.61147984130173
Pasig,2021,749,815631.75,16831.03074700784,91.83065764666468,729.9362737719823,89.49336189671163
Pasig,2022,3257,828104.5,17088.413124226165,393.30784943204634,3067.283343739658,370.39810117438776
Pasig,2023,2013,840577.25,17345.79550144449,239.47828709377993,1623.2536119413999,193.1117707434266
Pasig,2024,3018,853050.0,17603.177878662813,353.78934411816425,2575.611533503791,301.9297266870396
Pasig,2025,3644,865522.75,17860.560255881137,421.01724073688416,2742.6932077222486,316.8828557911677
Pateros,2021,77,65750.0,6322.115384615385,117.11026615969584,63.032942741248306,95.8675935228111
Pateros,2022,412,66273.0,6372.403846153846,621.6709670604922,263.31477861067464,397.31833267043083
Pateros,2023,249,66796.0,6422.692307692308,372.77681298281334,138.55362882408656,207.4280328523962
Pateros,2024,494,67319.0,6472.980769230769,733.8195754541808,218.62060027648874,324.7531904462169
Pateros,2025,236,67842.0,6523.2692307692305,347.8671029745585,231.5441368554196,341.2991021128793
Quezon City,2021,1647,2991103.5,17419.5067264574,55.06329018704969,2666.545472558435,89.14922110045457
Quezon City,2022,8214,3022159.0,17600.366897676315,271.7924503641271,11156.561762123718,369.1586631320099
Quezon City,2023,4766,3053214.5,17781.22706889523,156.09777825960148,5879.331636377662,192.5620239383005
Quezon City,2024,9571,3084270.0,17962.087240114146,310.3165416776093,9290.471217887478,301.2210739619903
Quezon City,2025,11071,3115325.5,18142.94741133306,355.37217539547635,9853.69770973682,316.29753326696743
San Juan,2021,133,128338.25,21569.45378151261,103.63239330441236,111.34577060113811,86.7596142234588
San Juan,2022,359,130329.5,21904.11764705882,275.4556719698917,467.75509650574645,358.9019343324009
San Juan,2023,170,132320.75,22238.78151260504,128.4756925878972,247.47082463167766,187.02344464619318
San Juan,2024,441,134312.0,22573.44537815126,328.33998451366966,392.5439187279802,292.26273060335654
San Juan,2025,312,136303.25,22908.10924369748,228.9013651545359,417.8811454063281,306.581937999518
Taguig,2021,1289,992062.75,21943.43618668436,129.9312971886103,858.6049252322692,86.54744120089876
Taguig,2022,5125,1097403.5,24273.468259234684,467.0114502095173,3877.976197325835,353.3774220080249
Taguig,2023,2682,1202744.25,26603.500331785,222.9900496302518,2186.0430943404594,181.75460779300832
Taguig,2024,2737,1308085.0,28933.532404335325,209.2371673094638,3667.120325421038,280.34266316187694
Taguig,2025,2920,1413425.75,31263.564476885644,206.5902648228957,4102.623849882933,290.26100945754905
Valenzuela,2021,1088,717526.75,15260.032964695873,151.6319774837663,648.7776610210846,90.41860265433792
Valenzuela,2022,4504,720075.5,15314.238621863036,625.4899659827337,2698.307659014049,374.7256584919288
Valenzuela,2023,1692,722624.25,15368.444279030198,234.1465844801085,1413.65576746059,195.62805530821726
Valenzuela,2024,1787,725173.0,15422.649936197362,246.42395676617855,2220.9951137689977,306.2710710091244
Valenzuela,2025,1795,727721.75,15476.855593364524,246.66021044444528,2342.2967385754077,321.86707880799327
