LGU,Year,Dengue Cases,Population,Land Area,Population Density,Incidence Rate,Previous Year Incidence,YoY % Change,Five-Year Average Incidence,Status
Malabon,2025,1349,392280.75,15.71,24970.13049013367,343.8863619996648,284.6672086456765,20.80294166501559,347.55154468579593,extrapolated
Mandaluyong,2021,319,435794.0,9.29,46910.01076426265,73.19972280481144,,,159.6410689660033,interpolated
Mandaluyong,2022,952,445830.0,9.29,47990.3121636168,213.53430679855552,73.19972280481144,191.71463854849438,159.6410689660033,interpolated
Mandaluyong,2023,543,455866.0,9.29,49070.61356297094,119.11395015201836,213.53430679855552,-44.217886138367284,159.6410689660033,interpolated
Mandaluyong,2024,946,465902.0,9.29,50150.914962325085,203.04699271520624,119.11395015201836,70.46449425618823,159.6410689660033,official
Mandaluyong,2025,901,475938.0,9.29,51231.21636167923,189.31037235942495,203.04699271520624,-6.765241963001286,159.6410689660033,extrapolated
Manila,2021,1220,1860532.25,24.98,74480.8746997598,65.57263385249034,,,231.33113671540292,interpolated
Manila,2022,3919,1874551.5,24.98,75042.09367493996,209.06334128456865,65.57263385249034,218.8271219284396,231.33113671540292,interpolated
Manila,2023,2712,1888570.75,24.98,75603.31265012009,143.60065674002416,209.06334128456865,-31.31236884587973,231.33113671540292,interpolated
Manila,2024,5511,1902590.0,24.98,76164.53162530024,289.6577822862519,143.60065674002416,101.71062505003079,231.33113671540292,official
Manila,2025,8601,1916609.25,24.98,76725.75060048039,448.7612694136794,289.6577822862519,54.92808992447327,231.33113671540292,extrapolated
Marikina,2021,330,459875.0,21.52,21369.656133829,71.75863006251699,,,211.15181077258404,interpolated
Marikina,2022,1305,463691.0,21.52,21546.979553903348,281.4374227664544,71.75863006251699,292.20010543855517,211.15181077258404,interpolated
Marikina,2023,699,467507.0,21.52,21724.30297397769,149.51647782813947,281.4374227664544,-46.873988413327346,211.15181077258404,interpolated
Marikina,2024,1450,471323.0,21.52,21901.626394052044,307.6446513325257,149.51647782813947,105.75969672462817,211.15181077258404,official
Marikina,2025,1166,475139.0,21.52,22078.949814126398,245.40187187328343,307.6446513325257,-20.2320369262541,211.15181077258404,extrapolated
Muntinlupa,2021,198,545640.0,39.75,13726.792452830188,36.28766219485375,,,138.03065813574625,interpolated
Muntinlupa,2022,1268,547835.0,39.75,13782.012578616352,231.45655169896045,36.28766219485375,537.8381458031351,138.03065813574625,interpolated
Muntinlupa,2023,383,550030.0,39.75,13837.232704402517,69.63256549642747,231.45655169896045,-69.91549170446739,138.03065813574625,interpolated
Muntinlupa,2024,972,552225.0,39.75,13892.452830188678,176.0152111910906,69.63256549642747,152.77714519957064,138.03065813574625,official
Muntinlupa,2025,980,554420.0,39.75,13947.672955974842,176.76130009739907,176.0152111910906,0.42387751675534563,138.03065813574625,extrapolated
Navotas,2021,201,248876.75,8.94,27838.56263982103,80.76286756396489,,,196.0057202087011,interpolated
Navotas,2022,950,250210.5,8.94,27987.75167785235,379.6803091796707,80.76286756396489,370.11741983896326,196.0057202087011,interpolated
Navotas,2023,191,251544.25,8.94,28136.94071588367,75.93097437130842,379.6803091796707,-80.00133993375552,196.0057202087011,interpolated
Navotas,2024,535,252878.0,8.94,28286.12975391499,211.5644698233931,75.93097437130842,178.62736067211023,196.0057202087011,official
Navotas,2025,590,254211.75,8.94,28435.31879194631,232.08998010516825,211.5644698233931,9.701775680438763,196.0057202087011,extrapolated
Parañaque,2021,594,693305.25,46.57,14887.379214086322,85.67654723514643,,,209.37533301578668,interpolated
Parañaque,2022,2281,696618.5,46.57,14958.524801374277,327.43890666125003,85.67654723514643,282.1803249873815,209.37533301578668,interpolated
Parañaque,2023,1151,699931.75,46.57,15029.670388662227,164.44460477753722,327.43890666125003,-49.77853839841262,209.37533301578668,interpolated
Parañaque,2024,1697,703245.0,46.57,15100.815975950183,241.30992755014256,164.44460477753722,46.74238043661556,209.37533301578668,official
Parañaque,2025,1611,706558.25,46.57,15171.961563238136,228.0066788548573,241.30992755014256,-5.512930541376472,209.37533301578668,extrapolated
Pasay,2021,186,443788.5,13.97,31767.251252684324,41.911856661450216,,,172.87752366689523,interpolated
Pasay,2022,746,446921.0,13.97,31991.481746599857,166.91988069479842,41.911856661450216,298.2641046974384,172.87752366689523,interpolated
Pasay,2023,689,450053.5,13.97,32215.71224051539,153.0929100651367,166.91988069479842,-8.2835972396502,172.87752366689523,interpolated
Pasay,2024,1133,453186.0,13.97,32439.94273443092,250.00772309824225,153.0929100651367,63.30457301508675,172.87752366689523,official
Pasay,2025,1152,456318.5,13.97,32664.17322834645,252.45524781484863,250.00772309824225,0.978979643618693,172.87752366689523,extrapolated
Pasig,2021,749,815631.75,48.46,16831.03074700784,91.83065764666468,,,299.88467580550787,interpolated
Pasig,2022,3257,828104.5,48.46,17088.413124226165,393.3078494320464,91.83065764666468,328.2968885460568,299.88467580550787,interpolated
Pasig,2023,2013,840577.25,48.46,17345.79550144449,239.47828709377995,393.3078494320464,-39.11174479746667,299.88467580550787,interpolated
Pasig,2024,3018,853050.0,48.46,17603.177878662813,353.78934411816425,239.47828709377995,47.733370073596674,299.88467580550787,official
